	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	r1	r2	r3	r4	r5	r6
ror2	1.17126770272813e-05	0.332066283154443	0.57	0.404	0.22842062738604	0.623188405797101	0.597014925373134	1.25396825396825	1.22727272727273	0.674603174603174	0.844444444444444
abtb2b	1.29072095887061e-05	0.292847767094471	0.302	0.166	0.251716401398945	0.0434782608695652	0.0149253731343284	0.53968253968254	0.659090909090909	0.873015873015873	0.2
hhip	1.4507344114484e-05	0.348284464046401	0.236	0.117	0.282922224920667	0.217391304347826	0.0895522388059701	0.420634920634921	0.621212121212121	0.198412698412698	0.111111111111111
cxcl12a	1.50747773848019e-05	-0.367633132948359	0.322	0.471	0.293988308558406	0.318840579710145	1.50746268656716	0.333333333333333	0.969696969696969	1.56349206349206	1.9
nkd1	1.731667770565e-05	0.343325034569675	0.659	0.557	0.337709848615586	0.811594202898551	1.04477611940299	1.73015873015873	1.40151515151515	1.26190476190476	0.933333333333333
rasal2	1.74500601747252e-05	-0.338708617860057	0.888	0.907	0.340311073527492	5.17391304347826	4.19402985074627	2.54761904761904	3.20454545454546	2.78571428571428	3.08888888888889
greb1l	1.83334724896765e-05	0.337344142364471	0.888	0.795	0.357539380493671	3.56521739130435	2.80597014925373	3.34126984126984	5.84848484848485	2.98412698412698	3.57777777777778
TENM2	1.96135533569224e-05	0.846360629190574	0.186	0.084	0.3825035175667	0.434782608695652	0.0447761194029851	0.30952380952381	1.77272727272727	0.119047619047619	0.111111111111111
palm1b	2.15469818976016e-05	-0.285388984375828	0.163	0.305	0.420209240967027	0.289855072463768	0.194029850746269	0.206349206349206	0.318181818181818	0.738095238095238	0.844444444444444
ephb4a	2.87049511690806e-05	-0.261411550681498	0.585	0.7	0.55980395769941	1.10144927536232	1.85074626865672	1.41269841269841	1.31060606060606	2	2.01111111111111
sema3fa	3.72582762636225e-05	0.410053232186359	0.213	0.104	0.726610903693166	0.333333333333333	0.134328358208955	0.420634920634921	0.863636363636363	0.111111111111111	0.0333333333333333
col4a5	4.41137106700454e-05	0.339256142962856	0.504	0.371	0.860305585487225	0.521739130434783	0.537313432835821	0.793650793650794	1.37878787878788	0.682539682539682	1.03333333333333
hoxb3a	5.16672150599006e-05	-0.661353068180759	0.345	0.425	1	0.0434782608695652	0	0.507936507936508	0.651515151515151	3.38095238095238	2.78888888888889
prickle2b	5.33354484047333e-05	0.37676469703852	0.422	0.296	1	0.449275362318841	0.17910447761194	0.746031746031746	1.06060606060606	0.523809523809524	0.677777777777777
sema3d	7.1154655335728e-05	0.394487283626069	0.202	0.099	1	0	0	0.333333333333333	0.734848484848485	0.515873015873016	0.0222222222222222
vat1	7.8683050358367e-05	-0.273398293353237	0.225	0.367	1	0.173913043478261	0.64179104477612	0.341269841269841	0.409090909090909	1.06349206349206	0.911111111111111
znf536	0.000107347750731607	0.305472838594767	0.198	0.097	1	0.536231884057971	0.164179104477612	0.23015873015873	0.674242424242424	0.0476190476190476	0.0888888888888889
igf2bp1	0.000119806889778694	-0.250942240819941	0.907	0.95	1	3.69565217391304	4	2.74603174603174	3.53030303030303	3.39682539682539	4.3
tead1b	0.000119951424395432	0.35920550306979	0.694	0.572	1	1.69565217391304	2.1044776119403	1.96031746031746	2.47727272727273	1.08730158730159	1.26666666666667
macf1a	0.000128733446723667	-0.288687595152282	0.853	0.901	1	4.50724637681159	3.77611940298507	3.16666666666666	2.90909090909091	4.19047619047619	4.04444444444444
col4a6	0.000136472535967555	0.32146146089682	0.756	0.687	1	1.63768115942029	1.74626865671642	1.92063492063492	3.09090909090909	1.48412698412698	2.58888888888889
col15a1b	0.000147645848390021	-0.44123998029506	0.198	0.32	1	0.144927536231884	0.253731343283582	0.253968253968254	0.492424242424242	1.8015873015873	0.822222222222222
nos1apa.1	0.000207809750899878	-0.317217792578983	0.601	0.739	1	1.85507246376812	1.49253731343284	1.74603174603174	1.48484848484848	2.65873015873016	3.7
asap1b	0.000228766773835506	-0.270203157839988	0.349	0.482	1	0.956521739130435	0.716417910447761	0.571428571428572	0.590909090909091	1.26984126984127	1.04444444444444
qkib	0.000279069084278124	0.400034476361367	0.616	0.531	1	0.782608695652174	1.02985074626866	1	2.58333333333333	1.12698412698413	1.87777777777778
epha7	0.000319712413795547	0.458302369687613	0.903	0.795	1	1.11594202898551	5.91044776119403	7.15079365079364	8.78787878787879	7.46031746031745	5.42222222222222
ntn1b	0.000358707526499925	0.609795189530736	0.205	0.114	1	0.202898550724638	0.149253731343284	0.523809523809524	1.07575757575758	0.222222222222222	0.222222222222222
ek1	0.000447911103953185	-0.259612833960042	0.136	0.242	1	0.507246376811594	0.716417910447761	0.19047619047619	0.212121212121212	0.111111111111111	0.155555555555556
nr2f2	0.000499096024593748	-0.316388964929561	0.62	0.708	1	1.95652173913044	3.1044776119403	2.07142857142857	1.36363636363636	2.06349206349206	1.58888888888889
si:dkey-195m11.8	0.000512232000074307	-0.308099633569725	0.643	0.691	1	1.36231884057971	2	1.04761904761905	1.21212121212121	1.43650793650794	1.96666666666667
jam3b	0.000526633602235139	-0.266393417923709	0.43	0.542	1	0.971014492753623	0.761194029850746	0.634920634920635	0.689393939393939	1.14285714285714	1.01111111111111
pappab	0.000529885802376053	0.503235793700692	0.229	0.134	1	0.492753623188406	0.104477611940299	0.253968253968254	1.4469696969697	0.293650793650794	0.544444444444445
abcb5	0.000579586655711006	-0.288514830729584	0.174	0.289	1	0.956521739130434	1.01492537313433	0.373015873015873	0.295454545454545	0.301587301587302	0.733333333333333
ncl	0.000589143161274493	-0.268030508265549	0.612	0.721	1	1.98550724637681	1.56716417910448	1.3015873015873	1.22727272727273	1.48412698412698	2.1
nxph3	0.000632651437757237	-0.255194887581456	0.05	0.127	1	0.0289855072463768	0.119402985074627	0.0396825396825397	0.0909090909090909	0.436507936507936	0.588888888888889
metrn	0.000742478151099358	-0.258552384704375	0.484	0.587	1	0.869565217391304	1.05970149253731	0.912698412698413	0.734848484848485	1.28571428571429	1.34444444444444
sema3ab	0.000765180064395544	-0.329035533872817	0.081	0.168	1	0.0144927536231884	0.0149253731343284	0.253968253968254	0.00757575757575758	1.46825396825397	0.0333333333333333
FRMD5	0.000873804708891861	0.337750198107025	0.651	0.555	1	0.72463768115942	1.34328358208955	2.48412698412698	1.35606060606061	2.03968253968254	0.711111111111111
nck2a	0.000954880012289978	-0.373479563976321	0.659	0.739	1	0.999999999999999	1.95522388059702	2.23809523809524	1.25	3.97619047619047	2.94444444444444
cdon	0.000967990130388299	0.296325914033694	0.492	0.371	1	0.289855072463768	0.611940298507463	2.22222222222222	2.59090909090909	1.16666666666667	0.922222222222222
fbrsl1	0.00100824471609222	0.325510135594035	0.395	0.287	1	0.579710144927536	0.776119402985075	0.531746031746032	1.21969696969697	0.333333333333333	0.455555555555556
igsf9a	0.00102834989976758	-0.271025814335095	0.341	0.449	1	0.72463768115942	0.835820895522388	0.444444444444444	0.734848484848485	0.968253968253968	1.32222222222222
col12a1a	0.00123599742518315	-0.423145412857919	0.256	0.35	1	0.391304347826087	0.447761194029851	0.380952380952381	0.348484848484848	0.80952380952381	1.91111111111111
ptprn2	0.00133352514331601	-0.342548927968114	0.446	0.54	1	3.2463768115942	1.82089552238806	0.698412698412699	1.09090909090909	0.547619047619048	0.822222222222222
tenm3	0.00144444881486629	-0.294878736244446	0.465	0.555	1	1.2463768115942	0.656716417910448	1.26984126984127	0.742424242424242	2.6031746031746	0.977777777777778
ptch2	0.0015199146809051	0.314505660804332	0.368	0.272	1	0.739130434782609	0.671641791044776	0.555555555555556	1.17424242424242	0.357142857142857	0.644444444444444
ptprsa.1	0.00160841427049164	-0.257226394698602	0.791	0.825	1	2.49275362318841	2.53731343283582	2.22222222222222	1.93939393939394	2.82539682539682	2.84444444444444
dclk2a	0.00163688645525792	-0.311555536454775	0.233	0.339	1	0.27536231884058	0.17910447761194	0.547619047619048	0.257575757575758	1.17460317460317	1.46666666666667
nbeaa	0.00185282385054644	0.331952624882849	0.667	0.566	1	0.536231884057971	0.970149253731343	2.58730158730159	1.64393939393939	2.81746031746031	1.62222222222222
pbx3b	0.00250682309830714	0.33079884308634	0.271	0.179	1	0.36231884057971	0.567164179104478	0.261904761904762	0.954545454545454	0.19047619047619	0.2
LHFPL6	0.00258637684925804	0.359925682885086	0.322	0.222	1	0.36231884057971	1.05970149253731	0.531746031746032	1.18939393939394	0.26984126984127	0.122222222222222
akap12b	0.00261106467647696	0.270651268781902	0.69	0.624	1	0.927536231884058	1.65671641791045	1.97619047619047	1.65909090909091	1.37301587301587	1.27777777777778
alcamb	0.0027361170621533	0.274377313473814	0.601	0.521	1	1.05797101449275	0.895522388059702	1.26190476190476	1.50757575757576	1.00793650793651	0.933333333333333
ackr3b	0.00279331159195274	-0.366098212560664	0.345	0.43	1	0.318840579710145	0.313432835820895	0.809523809523809	0.371212121212121	2.57142857142857	0.855555555555555
sorbs2b	0.00308706931400929	-0.256553160215619	0.306	0.41	1	1.27536231884058	1.67164179104478	0.698412698412698	0.696969696969697	0.428571428571428	1.3
ntn1a	0.00319334923025983	0.586233265369536	0.531	0.46	1	1.91304347826087	2.40298507462687	3.33333333333333	5.56818181818182	3.47619047619048	2.96666666666667
negr1	0.0037083805823116	-0.284087309951122	0.767	0.808	1	2.79710144927536	3.4179104477612	2.37301587301587	2.61363636363637	3.3015873015873	4.93333333333333
pdzrn3b	0.00438427673143735	-0.3052222580775	0.136	0.212	1	0.956521739130435	0.373134328358209	0.103174603174603	0.212121212121212	0.126984126984127	0.133333333333333
rnf165a	0.00489606236454217	-0.280636870936795	0.461	0.555	1	0.710144927536232	0.626865671641791	0.984126984126984	1.10606060606061	2.3015873015873	1.91111111111111
epha2a	0.00528037262320061	0.318694140113329	0.492	0.395	1	0.405797101449275	0.641791044776119	1.85714285714286	1.41666666666667	1.46031746031746	0.766666666666667
bmpr1ab	0.00651829640893248	0.270083390388075	0.655	0.592	1	1.30434782608696	1.59701492537313	1.36507936507936	2.51515151515152	1.06349206349206	1.55555555555555
sulf2b	0.00841150308504477	0.457919195382694	0.248	0.175	1	0.797101449275362	0.402985074626866	0.69047619047619	1.34090909090909	0.452380952380952	0.366666666666667
zgc:158328	0.00883557651919388	-0.28206918277032	0.171	0.248	1	0.0289855072463768	0.194029850746269	0.0873015873015873	0.5	0.738095238095238	1.63333333333333
hspg2	0.00893553429416098	-0.270127747120592	0.248	0.335	1	0.739130434782609	0.253731343283582	0.388888888888889	0.628787878787879	0.30952380952381	2.25555555555555
fhod3b	0.00904337990254248	0.415647973454226	0.593	0.512	1	1.18840579710145	1.92537313432836	2.72222222222222	4.26515151515152	4.11111111111111	2.92222222222222
cdh11	0.0112619809709448	0.493559070398908	0.202	0.138	1	0.289855072463768	0.0298507462686567	0.214285714285714	1.45454545454545	0.555555555555555	0.377777777777778
